Soubor: ;D:\!private\Lord\Git\UCT\Termografie\lab7 IT2\termokamera\IR_3618.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Parametry:;Emisivita:;0,96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Odr. tepl.:;25,7 °C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Vzdálenost:;0,5 m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Atmosférická teplota:;21,5 °C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41,366;42,241;42,958;43,11;43,11;43,129;43,167;43,205;43,12;43,186;43,291;43,386;43,395;43,3;43,405;43,291;43,348;43,224;43,253;43,31;43,281;43,196;43,167;43,072;43,043;42,996;43,005;42,948;42,891;42,882;42,796;42,853;42,308;42,088;41,463;39,714;34,364
;Teplota externí optiky:;20 °C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41,953;42,681;42,967;43,005;43,063;42,996;43,015;43,12;43,196;43,139;43,158;43,11;43,158;43,167;43,129;43,177;43,034;42,986;42,815;42,901;42,901;42,92;42,977;42,977;42,92;43,015;42,948;42,862;42,834;42,758;42,748;42,758;42,71;42,433;41,934;41,096;37,981
;Propustnost externí optiky:;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;39,822;41,002;41,437;41,522;41,578;41,673;41,691;41,739;41,701;41,739;41,729;41,814;41,852;41,889;41,804;41,833;41,795;41,833;41,795;41,852;41,757;41,842;41,739;41,673;41,691;41,691;41,626;41,522;41,512;41,531;41,522;41,456;41,437;41,191;40,67;39,697;37,971
;Relativní vlhkost:;45%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37,381;39,013;39,943;40,158;40,522;40,494;40,512;40,522;40,559;40,512;40,475;40,54;40,633;40,559;40,484;40,717;40,754;40,698;40,698;40,763;40,615;40,643;40,512;40,568;40,522;40,456;40,391;40,373;40,466;40,326;40,233;40,354;40,242;40,195;39,577;38,607;36,286
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36,594;39,107;40,008;40,279;40,223;40,428;40,4;40,531;40,55;40,577;40,605;40,559;40,577;40,624;40,531;40,643;40,531;40,587;40,661;40,661;40,643;40,55;40,559;40,503;40,577;40,587;40,512;40,512;40,428;40,428;40,373;40,345;40,261;40,102;39,671;38,531;36,7
Li1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36,654;40,921;42,471;42,986;42,967;42,901;42,948;43,158;43,281;43,148;43,167;43,215;43,072;43,063;43,196;43,243;43,253;43,424;43,281;43,386;43,424;43,3;43,243;43,243;43,196;43,148;43,101;43,11;43,101;43,015;42,986;43,11;42,977;42,767;42,212;41,183;38,505
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;176,634;179,139;181,024;178,702;175,564;175,038;175,29;178,098;178,556;177,388;174,785;174,532;174,848;174,932;175,543;176,089;177,868;179,513;179,471;178,598;176,215;174,532;174,574;174,468;174,489;174,532;174,806;174,827;175,038;174,995;175,774;176,362;176,739;176,823;177,242;176,697;
Parametry:;Emisivita:;0,92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Odr. tepl.:;25,7 °C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Vzdálenost:;0,5 m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Snímek 1;41,366;42,241;42,958;43,11;43,11;43,129;43,167;43,205;43,12;43,186;43,291;43,386;43,395;43,3;43,405;43,291;43,348;43,224;43,253;43,31;43,281;43,196;43,167;43,072;43,043;42,996;43,005;42,948;42,891;42,882;42,796;42,853;42,308;42,088;41,463;39,714;34,364;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Li2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Parametry:;Emisivita:;0,92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Odr. tepl.:;25,7 °C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Vzdálenost:;0,5 m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Snímek 1;41,953;42,681;42,967;43,005;43,063;42,996;43,015;43,12;43,196;43,139;43,158;43,11;43,158;43,167;43,129;43,177;43,034;42,986;42,815;42,901;42,901;42,92;42,977;42,977;42,92;43,015;42,948;42,862;42,834;42,758;42,748;42,758;42,71;42,433;41,934;41,096;37,981;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Li3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Parametry:;Emisivita:;0,94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Odr. tepl.:;25,7 °C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Vzdálenost:;0,5 m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Snímek 1;39,822;41,002;41,437;41,522;41,578;41,673;41,691;41,739;41,701;41,739;41,729;41,814;41,852;41,889;41,804;41,833;41,795;41,833;41,795;41,852;41,757;41,842;41,739;41,673;41,691;41,691;41,626;41,522;41,512;41,531;41,522;41,456;41,437;41,191;40,67;39,697;37,971;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Li4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Parametry:;Emisivita:;0,96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Odr. tepl.:;25,7 °C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Vzdálenost:;0,5 m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Snímek 1;37,381;39,013;39,943;40,158;40,522;40,494;40,512;40,522;40,559;40,512;40,475;40,54;40,633;40,559;40,484;40,717;40,754;40,698;40,698;40,763;40,615;40,643;40,512;40,568;40,522;40,456;40,391;40,373;40,466;40,326;40,233;40,354;40,242;40,195;39,577;38,607;36,286;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Li5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Parametry:;Emisivita:;0,96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Odr. tepl.:;25,7 °C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Vzdálenost:;0,5 m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Snímek 1;36,594;39,107;40,008;40,279;40,223;40,428;40,4;40,531;40,55;40,577;40,605;40,559;40,577;40,624;40,531;40,643;40,531;40,587;40,661;40,661;40,643;40,55;40,559;40,503;40,577;40,587;40,512;40,512;40,428;40,428;40,373;40,345;40,261;40,102;39,671;38,531;36,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Li6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Parametry:;Emisivita:;0,92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Odr. tepl.:;25,7 °C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Vzdálenost:;0,5 m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Snímek 1;36,654;40,921;42,471;42,986;42,967;42,901;42,948;43,158;43,281;43,148;43,167;43,215;43,072;43,063;43,196;43,243;43,253;43,424;43,281;43,386;43,424;43,3;43,243;43,243;43,196;43,148;43,101;43,11;43,101;43,015;42,986;43,11;42,977;42,767;42,212;41,183;38,505;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Li7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Parametry:;Emisivita:;0,21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Odr. tepl.:;25,7 °C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Vzdálenost:;0,5 m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Snímek 1;176,634;179,139;181,024;178,702;175,564;175,038;175,29;178,098;178,556;177,388;174,785;174,532;174,848;174,932;175,543;176,089;177,868;179,513;179,471;178,598;176,215;174,532;174,574;174,468;174,489;174,532;174,806;174,827;175,038;174,995;175,774;176,362;176,739;176,823;177,242;176,697;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
